State,District,Latitude,Longitude,Population,Male,Female,Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains
Rajasthan,Alwar,27.55271738035265,76.65359630562563,3674179,1939026,1735153,2182476,653036,289249,3039279,547335,2696,64532,4384,13221
Rajasthan,Alwar,27.55271738035265,76.65359630562563,3674179,1939026,1735153,2182476,653036,289249,3039279,547335,2696,64532,4384,13221
Rajasthan,Alwar,27.55271738035265,76.65359630562563,3674179,1939026,1735153,2182476,653036,289249,3039279,547335,2696,64532,4384,13221
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,2548462,1355726,1192736,1480869,557305,54090,2143046,371286,1576,23456,899,5758
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,2548462,1355726,1192736,1480869,557305,54090,2143046,371286,1576,23456,899,5758
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,2548462,1355726,1192736,1480869,557305,54090,2143046,371286,1576,23456,899,5758
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,1206516,653647,552869,683098,245695,58594,1127520,72258,688,1356,92,2739
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,1206516,653647,552869,683098,245695,58594,1127520,72258,688,1356,92,2739
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,1206516,653647,552869,683098,245695,58594,1127520,72258,688,1356,92,2739
Rajasthan,Karauli,26.51901555555556,76.96081818181815,1458248,783639,674609,805849,354465,324960,1370977,81553,602,297,70,3424
Rajasthan,Karauli,26.51901555555556,76.96081818181815,1458248,783639,674609,805849,354465,324960,1370977,81553,602,297,70,3424
Rajasthan,Karauli,26.51901555555556,76.96081818181815,1458248,783639,674609,805849,354465,324960,1370977,81553,602,297,70,3424
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,1335551,704031,631520,741748,278789,285848,1165505,155681,945,812,177,9991
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,1335551,704031,631520,741748,278789,285848,1165505,155681,945,812,177,9991
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,1335551,704031,631520,741748,278789,285848,1165505,155681,945,812,177,9991
Rajasthan,Dausa,26.91234817629181,76.57342097264443,1634409,857787,776622,938051,354337,433344,1582335,45488,439,296,94,3737
Rajasthan,Dausa,26.91234817629181,76.57342097264443,1634409,857787,776622,938051,354337,433344,1582335,45488,439,296,94,3737
Rajasthan,Dausa,26.91234817629181,76.57342097264443,1634409,857787,776622,938051,354337,433344,1582335,45488,439,296,94,3737
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,6626178,3468507,3157671,4300965,1003302,527966,5819980,687452,12708,18782,1020,81079
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,6626178,3468507,3157671,4300965,1003302,527966,5819980,687452,12708,18782,1020,81079
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,6626178,3468507,3157671,4300965,1003302,527966,5819980,687452,12708,18782,1020,81079
Rajasthan,Sikar,27.64644058641976,75.29317422839503,2677333,1374990,1302343,1652117,418806,75349,2342076,327583,1122,356,177,4050
Rajasthan,Sikar,27.64644058641976,75.29317422839503,2677333,1374990,1302343,1652117,418806,75349,2342076,327583,1122,356,177,4050
Rajasthan,Sikar,27.64644058641976,75.29317422839503,2677333,1374990,1302343,1652117,418806,75349,2342076,327583,1122,356,177,4050
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,3307743,1696325,1611418,1758624,699911,10418,2833443,454487,1912,366,163,12940
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,3307743,1696325,1611418,1758624,699911,10418,2833443,454487,1912,366,163,12940
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,3307743,1696325,1611418,1758624,699911,10418,2833443,454487,1912,366,163,12940
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,3687165,1923928,1763237,2031532,608024,118924,3224399,411558,6035,4123,514,36697
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,3687165,1923928,1763237,2031532,608024,118924,3224399,411558,6035,4123,514,36697
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,3687165,1923928,1763237,2031532,608024,118924,3224399,411558,6035,4123,514,36697
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,669919,361708,308211,308653,99134,42429,497045,168129,874,1723,98,1521
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,669919,361708,308211,308653,99134,42429,497045,168129,874,1723,98,1521
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,669919,361708,308211,308653,99134,42429,497045,168129,874,1723,98,1521
Rajasthan,Barmer,25.77070908045978,71.50297126436782,2603751,1369022,1234729,1188322,436414,176257,2244882,321192,1157,450,157,34010
Rajasthan,Barmer,25.77070908045978,71.50297126436782,2603751,1369022,1234729,1188322,436414,176257,2244882,321192,1157,450,157,34010
Rajasthan,Barmer,25.77070908045978,71.50297126436782,2603751,1369022,1234729,1188322,436414,176257,2244882,321192,1157,450,157,34010
Rajasthan,Jalor,25.07578093797277,72.18647261724662,1828730,936634,892096,829582,357196,178719,1732852,78990,730,231,144,14640
Rajasthan,Jalor,25.07578093797277,72.18647261724662,1828730,936634,892096,829582,357196,178719,1732852,78990,730,231,144,14640
Rajasthan,Jalor,25.07578093797277,72.18647261724662,1828730,936634,892096,829582,357196,178719,1732852,78990,730,231,144,14640
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,1036346,534231,502115,476806,201863,292470,996562,30479,1284,572,114,6829
